Región;Comuna;Código postal
Ciudad de México;Miguel Hidalgo;11470
Ciudad de México;Gustavo A. Madero;07370
Ciudad de México;Cuauhtémoc;06000
Ciudad de México;Azcapotzalco;02460
Ciudad de México;Gustavo A. Madero;07839
Ciudad de México;Venustiano Carranza;15200
Ciudad de México;Cuauhtémoc;06820
Ciudad de México;Azcapotzalco;02020
Ciudad de México;Azcapotzalco;02320
Ciudad de México;Azcapotzalco;02080
Ciudad de México;Cuauhtémoc;06020
Ciudad de México;Gustavo A. Madero;07000
Ciudad de México;Azcapotzalco;02720
Ciudad de México;Cuauhtémoc;06030
Estado de México;Tlalnepantla de Baz;54172
Ciudad de México;Azcapotzalco;02980
Ciudad de México;Benito Juárez;03420
Ciudad de México;Venustiano Carranza;15010
Ciudad de México;Azcapotzalco;02600
Ciudad de México;Miguel Hidalgo;11430
Ciudad de México;Iztacalco;08600
Ciudad de México;Venustiano Carranza;15540
Ciudad de México;Azcapotzalco;02340
Ciudad de México;Cuauhtémoc;06600
Ciudad de México;Azcapotzalco;02830
Ciudad de México;Benito Juárez;03530
Ciudad de México;Miguel Hidalgo;11250
Ciudad de México;Venustiano Carranza;15960
Ciudad de México;Miguel Hidalgo;11230
Ciudad de México;Miguel Hidalgo;11460
Ciudad de México;Benito Juárez;03610
Ciudad de México;Azcapotzalco;02150
Ciudad de México;Cuauhtémoc;06040
Ciudad de México;Cuauhtémoc;06220
Ciudad de México;Venustiano Carranza;15530
Ciudad de México;Benito Juárez;03400
Ciudad de México;Gustavo A. Madero;07830
Ciudad de México;Miguel Hidalgo;11210
Ciudad de México;Venustiano Carranza;15900
Ciudad de México;Azcapotzalco;02060
Ciudad de México;Gustavo A. Madero;07750
Ciudad de México;Gustavo A. Madero;07740
Estado de México;Naucalpan de Juárez;53378
Estado de México;Naucalpan de Juárez;53500
Ciudad de México;Cuauhtémoc;06010
Ciudad de México;Venustiano Carranza;15330
Ciudad de México;Gustavo A. Madero;07960
Ciudad de México;Gustavo A. Madero;07850
Ciudad de México;Benito Juárez;03700
Ciudad de México;Miguel Hidalgo;11540
Ciudad de México;Venustiano Carranza;15850
Ciudad de México;Azcapotzalco;02920
Ciudad de México;Azcapotzalco;02719
Ciudad de México;Venustiano Carranza;15460
Ciudad de México;Azcapotzalco;02730
Ciudad de México;Venustiano Carranza;15380
Ciudad de México;Cuauhtémoc;06250
Ciudad de México;Benito Juárez;03430
Ciudad de México;Azcapotzalco;02800
Ciudad de México;Cuauhtémoc;06140
Ciudad de México;Gustavo A. Madero;07859
Ciudad de México;Miguel Hidalgo;11820
Estado de México;Naucalpan de Juárez;53900
Ciudad de México;Miguel Hidalgo;11260
Ciudad de México;Gustavo A. Madero;07739
Ciudad de México;Miguel Hidalgo;11490
Ciudad de México;Venustiano Carranza;15350
Ciudad de México;Iztacalco;08610
Ciudad de México;Azcapotzalco;02780
Ciudad de México;Álvaro Obregón;01419
Ciudad de México;Miguel Hidalgo;11440
Ciudad de México;Azcapotzalco;02960
Ciudad de México;Benito Juárez;03550
Estado de México;Naucalpan de Juárez;53960
Ciudad de México;Álvaro Obregón;01420
Ciudad de México;Gustavo A. Madero;07460
Ciudad de México;Miguel Hidalgo;11590
Estado de México;Naucalpan de Juárez;53970
Ciudad de México;Venustiano Carranza;15710
Ciudad de México;Miguel Hidalgo;11850
Ciudad de México;Benito Juárez;03740
Ciudad de México;Venustiano Carranza;15310
Ciudad de México;Azcapotzalco;02128
Ciudad de México;Gustavo A. Madero;07810
